ts,zemlja,gorivo,cena_eur
2026-08-01 16:37 UTC,Bosnia and Herzegovina,petrol95,1.49
2026-08-01 16:37 UTC,Bosnia and Herzegovina,diesel,1.69
2026-08-01 16:37 UTC,Bosnia and Herzegovina,lpg,0.7
2026-08-01 16:37 UTC,Montenegro,petrol95,1.65
2026-08-01 16:37 UTC,Montenegro,diesel,1.65
2026-08-01 16:37 UTC,Slovenia,petrol95,1.61
2026-08-01 16:37 UTC,Slovenia,diesel,1.83
2026-08-01 16:37 UTC,Slovenia,lpg,0.94
2026-08-01 16:37 UTC,North Macedonia,petrol95,1.46
2026-08-01 16:37 UTC,North Macedonia,diesel,1.53
2026-08-01 16:37 UTC,North Macedonia,lpg,0.76
2026-08-01 16:37 UTC,Hungary,petrol95,1.65
2026-08-01 16:37 UTC,Hungary,diesel,1.69
2026-08-01 16:37 UTC,Hungary,lpg,1.01
2026-08-01 16:37 UTC,Bulgaria,petrol95,1.515
2026-08-01 16:37 UTC,Bulgaria,diesel,1.679
2026-08-01 16:37 UTC,Albania,petrol95,1.89
2026-08-01 16:37 UTC,Albania,diesel,2.06
2026-08-01 16:37 UTC,Albania,lpg,0.69
2026-08-01 16:37 UTC,Greece,petrol95,2.017
2026-08-01 16:37 UTC,Greece,diesel,2.041
2026-08-01 16:37 UTC,Romania,petrol95,1.768
2026-08-01 16:37 UTC,Romania,diesel,1.995
2026-08-01 16:37 UTC,Kosovo,petrol95,1.5
2026-08-01 16:37 UTC,Kosovo,diesel,1.52
2026-08-01 17:01 UTC,Serbia,petrol95,1.72
2026-08-01 17:01 UTC,Serbia,diesel,1.92
2026-08-01 17:01 UTC,Serbia,lpg,0.9
2026-08-01 17:01 UTC,Croatia,petrol95,1.67
2026-08-01 17:01 UTC,Croatia,diesel,1.87
2026-08-01 17:01 UTC,Croatia,lpg,0.0
2026-08-01 17:01 UTC,Bosnia and Herzegovina,petrol95,1.49
2026-08-01 17:01 UTC,Bosnia and Herzegovina,diesel,1.69
2026-08-01 17:01 UTC,Bosnia and Herzegovina,lpg,0.7
2026-08-01 17:01 UTC,Montenegro,petrol95,1.65
2026-08-01 17:01 UTC,Montenegro,diesel,1.65
2026-08-01 17:01 UTC,Slovenia,petrol95,1.61
2026-08-01 17:01 UTC,Slovenia,diesel,1.83
2026-08-01 17:01 UTC,Slovenia,lpg,0.94
2026-08-01 17:01 UTC,North Macedonia,petrol95,1.46
2026-08-01 17:01 UTC,North Macedonia,diesel,1.53
2026-08-01 17:01 UTC,North Macedonia,lpg,0.76
2026-08-01 17:01 UTC,Hungary,petrol95,1.65
2026-08-01 17:01 UTC,Hungary,diesel,1.69
2026-08-01 17:01 UTC,Hungary,lpg,1.01
2026-08-01 17:01 UTC,Bulgaria,petrol95,1.515
2026-08-01 17:01 UTC,Bulgaria,diesel,1.679
2026-08-01 17:01 UTC,Albania,petrol95,1.89
2026-08-01 17:01 UTC,Albania,diesel,2.06
2026-08-01 17:01 UTC,Albania,lpg,0.69
2026-08-01 17:01 UTC,Greece,petrol95,2.017
2026-08-01 17:01 UTC,Greece,diesel,2.041
2026-08-01 17:01 UTC,Romania,petrol95,1.768
2026-08-01 17:01 UTC,Romania,diesel,1.995
2026-08-01 17:01 UTC,Kosovo,petrol95,1.5
2026-08-01 17:01 UTC,Kosovo,diesel,1.52
2026-08-03 10:37 UTC,Serbia,petrol95,1.72
2026-08-03 10:37 UTC,Serbia,diesel,1.92
2026-08-03 10:37 UTC,Serbia,lpg,0.9
2026-08-03 10:37 UTC,Croatia,petrol95,1.67
2026-08-03 10:37 UTC,Croatia,diesel,1.87
2026-08-03 10:37 UTC,Croatia,lpg,0.0
2026-08-03 10:37 UTC,Bosnia and Herzegovina,petrol95,1.49
2026-08-03 10:37 UTC,Bosnia and Herzegovina,diesel,1.69
2026-08-03 10:37 UTC,Bosnia and Herzegovina,lpg,0.7
2026-08-03 10:37 UTC,Montenegro,petrol95,1.65
2026-08-03 10:37 UTC,Montenegro,diesel,1.65
2026-08-03 10:37 UTC,Slovenia,petrol95,1.61
2026-08-03 10:37 UTC,Slovenia,diesel,1.83
2026-08-03 10:37 UTC,Slovenia,lpg,0.94
2026-08-03 10:37 UTC,North Macedonia,petrol95,1.46
2026-08-03 10:37 UTC,North Macedonia,diesel,1.53
2026-08-03 10:37 UTC,North Macedonia,lpg,0.76
2026-08-03 10:37 UTC,Hungary,petrol95,1.65
2026-08-03 10:37 UTC,Hungary,diesel,1.69
2026-08-03 10:37 UTC,Hungary,lpg,1.01
2026-08-03 10:37 UTC,Bulgaria,petrol95,1.515
2026-08-03 10:37 UTC,Bulgaria,diesel,1.679
2026-08-03 10:37 UTC,Albania,petrol95,1.89
2026-08-03 10:37 UTC,Albania,diesel,2.06
2026-08-03 10:37 UTC,Albania,lpg,0.69
2026-08-03 10:37 UTC,Greece,petrol95,2.017
2026-08-03 10:37 UTC,Greece,diesel,2.041
2026-08-03 10:37 UTC,Romania,petrol95,1.768
2026-08-03 10:37 UTC,Romania,diesel,1.995
2026-08-03 10:37 UTC,Kosovo,petrol95,1.5
2026-08-03 10:37 UTC,Kosovo,diesel,1.52
2026-08-07 12:56 UTC,Serbia,petrol95,1.72
2026-08-07 12:56 UTC,Serbia,diesel,1.92
2026-08-07 12:56 UTC,Serbia,lpg,0.9
2026-08-07 12:56 UTC,Croatia,petrol95,1.67
2026-08-07 12:56 UTC,Croatia,diesel,1.87
2026-08-07 12:56 UTC,Croatia,lpg,0.0
